DEM2,EXP1,EXP1A,EXP2,EXP3,Question,Scores
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,2
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,3
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,4
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,3
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,3
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,3
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,3
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,3
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,2
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,4
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,4
